Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Home Page,13209,15156,21501,22147,23104,27749,323,31638,"0,424%","2,63908","12,21","0,31"
Buscar Voos,12584,960,404,2285,3903,8653,162,10594,"0,461%","2,52003","18,04","0,61"
Escolher Voo,12545,949,395,2262,3988,8761,160,10638,"0,391%","2,51275","16,43","0,53"
Preencher Formulário de Compra,12505,922,390,2168,3819,8716,161,10563,"0,288%","2,50583","14,10","1,02"
TOTAL,50843,4636,511,21549,21737,23626,160,31638,"0,391%","10,15811","60,65","2,46"
