Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
Home Page,4347,15164,21515,22349,23296,28952,413,31558,"0,046%","13,43250","62,37","1,56"
Buscar Voos,4146,1046,437,2351,4611,8878,183,10158,"0,072%","13,10011","94,11","3,15"
Escolher Voo,4135,1025,427,2291,4258,8699,179,10434,"0,048%","13,09315","85,87","2,75"
Preencher Formulário de Compra,4118,983,416,2146,3895,8943,180,10422,"0,024%","13,03523","73,56","5,32"
Teste Carga-ThreadStarter:Home Page,8862,15152,21495,22053,23010,26616,323,31638,"0,609%","2,25199","10,40","0,26"
Teste Carga-ThreadStarter:Buscar Voos,8438,918,390,2246,3761,8314,162,10594,"0,652%","2,15089","15,37","0,52"
Teste Carga-ThreadStarter:Escolher Voo,8410,912,380,2249,3948,8838,160,10638,"0,559%","2,14425","13,99","0,45"
Teste Carga-ThreadStarter:Preencher Formulário de Compra,8387,892,377,2180,3787,8244,161,10563,"0,417%","2,13976","12,03","0,87"
TOTAL,50843,4636,511,21549,21737,23626,160,31638,"0,391%","10,15811","60,65","2,46"
