Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Home Page,2992,14669,426,30259,"9774,51","0,067%","2,58185","11,99","0,30","4754,0"
Buscar Voos,2402,1863,163,10403,"1817,95","0,083%","2,10802","15,14","0,51","7355,8"
Escolher Voo,2318,1813,257,10187,"1822,97","0,000%","2,03747","13,37","0,43","6719,0"
Preencher Formulário de Compra,2263,1736,181,10405,"1952,74","0,088%","1,98852","11,21","0,81","5775,1"
Teste Pico-ThreadStarter:Home Page,1470,13994,318,31834,"10164,41","2,313%","16,29549","74,03","1,89","4651,9"
Teste Pico-ThreadStarter:Buscar Voos,1112,2511,162,10590,"2407,35","2,518%","15,37526","107,84","3,70","7182,0"
Teste Pico-ThreadStarter:Escolher Voo,1097,2632,165,11186,"2664,23","1,823%","14,98962","96,62","3,15","6600,4"
Teste Pico-ThreadStarter:Preencher Formulário de Compra,1089,2545,162,10733,"2711,45","2,112%","14,81875","81,94","6,05","5662,4"
TOTAL,14743,5801,162,31834,"8087,65","0,753%","3,09120","18,18","0,72","6021,0"
